,STATE/UT,YEAR,POPULATION,MALES,FEMALES,MALES(per_100k),FEMALES(per_100k),TOTAL IPC CRIMES,TOTAL IPC CRIMES(per_100k),ARSON,ARSON(per_100k),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(per_100k),ATTEMPT TO MURDER,ATTEMPT TO MURDER(per_100k),AUTO THEFT,AUTO THEFT(per_100k),BURGLARY,BURGLARY(per_100k),CAUSING DEATH BY NEGLIGENCE,CAUSING DEATH BY NEGLIGENCE(per_100k),CHEATING,CHEATING(per_100k),COUNTERFIETING,COUNTERFIETING(per_100k),CRIMINAL BREACH OF TRUST,CRIMINAL BREACH OF TRUST(per_100k),CRUELTY BY HUSBAND OR HIS RELATIVES,CRUELTY BY HUSBAND OR HIS RELATIVES(per_100k),CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER(per_100k),CUSTODIAL RAPE,CUSTODIAL RAPE(per_100k),DACOITY,DACOITY(per_100k),DOWRY DEATHS,DOWRY DEATHS(per_100k),HURT/GREVIOUS HURT,HURT/GREVIOUS HURT(per_100k),IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES(per_100k),INSULT TO MODESTY OF WOMEN,INSULT TO MODESTY OF WOMEN(per_100k),KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION(per_100k),KIDNAPPING AND ABDUCTION OF OTHERS,KIDNAPPING AND ABDUCTION OF OTHERS(per_100k),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS(per_100k),MURDER,MURDER(per_100k),OTHER RAPE,OTHER RAPE(per_100k),OTHER THEFT,OTHER THEFT(per_100k),PREPARATION AND ASSEMBLY FOR DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY(per_100k),RAPE,RAPE(per_100k),RIOTS,RIOTS(per_100k),ROBBERY,ROBBERY(per_100k),THEFT,THEFT(per_100k),OTHER IPC CRIMES,OTHER IPC CRIMES(per_100k)
20,Madhya Pradesh,2001,60348,31444,28904,52104.46079406112,47895.53920593888,363482,602309.9357062372,2028,3360.5090475243583,14126,23407.569430635645,5740,9511.499966858886,9070,15029.495592231722,27098,44902.89653343939,6594,10926.625571684232,2826,4682.839530721813,38,62.96811824749785,962,1594.0876251077086,5124,8490.753628952078,250,414.2639358388016,0,0.0,332,550.1425067939285,1218,2018.2938954066415,61790,102389.4743819182,0,0.0,1502,2488.8977265195203,1912,3168.290581295155,576,954.464108172599,1336,2213.826473122556,4850,8036.7203552727515,5702,9448.531848611387,31456,52124.34546298137,260,430.8344932723537,5702,9448.531848611387,6790,11251.408497381854,3528,5846.092662557168,40526,67153.8410552131,170286,282173.39431298466
21,Maharashtra,2001,96879,50401,46478,52024.690593420666,47975.30940657934,342466,353498.69424746337,2416,2493.8325127220555,5646,5827.888396866194,2908,3001.682511173732,17746,18317.69526935662,30146,31117.16677504929,17986,18565.426975918414,8546,8821.313184487866,530,547.0741853239608,3084,3183.3524293190476,12180,12572.384108011023,202,208.50751968950956,0,0.0,1058,1092.0839397599066,616,635.8447135086035,60424,62370.585988707564,2,2.0644308880149467,2240,2312.16259457674,1970,2033.4644246947223,748,772.09715211759,1222,1261.3672725771323,5678,5860.919291074433,2604,2687.88901619546,61986,63982.90651224724,656,677.1333312689025,2604,2687.88901619546,13438,13870.911136572426,4478,4622.2607582654655,79732,82300.60178160385,85926,88694.14424178614
22,Manipur,2001,2167,1096,1071,50576.83433317951,49423.16566682049,4978,229718.5048454084,128,5906.783571758191,42,1938.1633594831565,336,15505.306875865252,142,6552.838024919242,150,6922.01199815413,14,646.0544531610522,132,6091.370558375635,40,1845.8698661744345,66,3045.6852791878173,10,461.4674665436086,10,461.4674665436086,0,0.0,40,1845.8698661744345,0,0.0,402,18550.99215505307,0,0.0,0,0.0,188,8675.588371019843,64,2953.3917858790956,124,5722.196585140748,418,19289.34010152284,40,1845.8698661744345,292,13474.850023073373,34,1568.9893862482697,40,1845.8698661744345,262,12090.447623442547,38,1753.576372865713,434,20027.68804799262,2194,101245.96215966775
23,Meghalaya,2001,2319,1176,1143,50711.513583441134,49288.486416558866,3374,145493.74730487278,52,2242.345838723588,50,2156.1017680034497,94,4053.471323846486,32,1379.905131522208,340,14661.49202242346,0,0.0,58,2501.0780508840016,6,258.732212160414,38,1638.6373436826216,8,344.976282880552,4,172.488141440276,0,0.0,194,8365.674859853385,0,0.0,204,8796.895213454076,0,0.0,0,0.0,110,4743.423889607589,88,3794.7391116860713,22,948.6847779215178,328,14144.02759810263,52,2242.345838723588,510,21992.238033635185,6,258.732212160414,52,2242.345838723588,16,689.952565761104,250,10780.508840017248,542,23372.143165157395,1022,44070.72013799052
24,Mizoram,2001,889,459,429,51631.04611923509,48256.46794150731,4492,505286.8391451069,48,5399.325084364455,104,11698.537682789653,30,3374.5781777277844,34,3824.521934758155,834,93813.2733408324,46,5174.353205849269,142,15973.003374578178,24,2699.6625421822273,46,5174.353205849269,32,3599.55005624297,10,1124.859392575928,0,0.0,6,674.9156355455568,0,0.0,188,21147.356580427444,6,674.9156355455568,0,0.0,4,449.9437570303713,2,224.97187851518564,2,224.97187851518564,62,6974.128233970754,104,11698.537682789653,1722,193700.78740157478,0,0.0,104,11698.537682789653,6,674.9156355455568,46,5174.353205849269,1756,197525.30933633295,998,112260.96737907763
25,Nagaland,2001,1990,1047,943,52613.065326633165,47386.934673366835,2468,124020.10050251255,2,100.50251256281408,12,603.0150753768844,78,3919.597989949749,178,8944.723618090453,326,16381.909547738693,38,1909.5477386934674,68,3417.0854271356784,4,201.00502512562815,40,2010.0502512562814,0,0.0,18,904.5226130653266,0,0.0,22,1105.5276381909548,0,0.0,74,3718.5929648241204,0,0.0,0,0.0,46,2311.5577889447236,34,1708.5427135678392,12,603.0150753768844,202,10150.75376884422,34,1708.5427135678392,338,16984.924623115578,0,0.0,34,1708.5427135678392,4,201.00502512562815,258,12964.824120603016,516,25929.648241206032,726,36482.4120603015
26,Odisha,2001,36805,18661,18144,50702.350224154325,49297.649775845675,93322,253557.94049721508,846,2298.600733595979,3310,8993.34329574786,2302,6254.5849748675455,1634,4439.61418285559,6186,16807.498981116696,3178,8634.69637277544,1362,3700.5841597609024,20,54.34044287460942,570,1548.7026219263687,2532,6879.500067925554,106,288.00434723543,0,0.0,398,1081.3748132047276,588,1597.6090205135172,8734,23730.471403341937,0,0.0,916,2488.792283657112,1044,2836.5711180546123,176,478.1958972965629,868,2358.375220758049,1974,5363.401711723951,1580,4292.894987094144,9610,26110.58280124983,44,119.54897432414073,1580,4292.894987094144,2852,7748.947153919305,1916,5205.814427387583,11244,30550.19698410542,41620,113082.46162206221
27,Puducherry,2001,974,487,487,50000.0,50000.0,8136,835318.2751540041,62,6365.503080082135,70,7186.858316221766,64,6570.841889117043,568,58316.22176591375,222,22792.607802874743,332,34086.24229979466,46,4722.792607802875,6,616.0164271047228,10,1026.694045174538,6,616.0164271047228,2,205.3388090349076,0,0.0,2,205.3388090349076,2,205.3388090349076,1270,130390.14373716633,0,0.0,54,5544.1478439425055,8,821.3552361396304,2,205.3388090349076,6,616.0164271047228,50,5133.470225872689,18,1848.0492813141684,488,50102.66940451745,0,0.0,18,1848.0492813141684,200,20533.880903490757,8,821.3552361396304,1056,108418.89117043122,4648,477207.3921971253
28,Punjab,2001,24359,12985,11374,53306.78599285685,46693.21400714315,55548,228038.9178537707,126,517.2626134077753,744,3054.3125744078166,1578,6478.098444106901,2408,9885.463278459707,3804,15616.404614310934,4308,17685.45506794203,5242,21519.766821298083,116,476.21002504207894,736,3021.470503715259,2256,9261.46393530112,160,656.8414138511433,0,0.0,90,369.47329529126813,318,1305.4723100291474,7992,32809.22862186461,0,0.0,94,385.89433063754666,1026,4211.995566320456,378,1551.7878402233262,648,2660.2077260971305,1476,6059.362042776796,596,2446.734266595509,3638,14934.931647440371,168,689.6834845437004,596,2446.734266595509,2,8.210517673139291,262,1075.5778151812472,6046,24820.394925900076,18408,75569.60466357403
29,Rajasthan,2001,56507,29420,27087,52064.34601022882,47935.65398977118,310370,549259.3837931583,2184,3865.0078751305145,5756,10186.348593979506,3846,6806.236395490823,8648,15304.298582476507,14568,25780.876705540904,8442,14939.741978869875,13288,23515.670624878334,178,315.00522059213904,2052,3631.4084980621874,11064,19579.875059727114,126,222.98122356522202,0,0.0,120,212.36307006211618,752,1330.8085723892616,54970,97279.9830109544,2,3.53938450103527,112,198.2055320579751,5436,9620.047073813865,1106,1957.2796290725041,4330,7662.76744474136,2518,4456.085086803405,2098,3712.814341585998,25230,44649.33548055993,80,141.5753800414108,2098,3712.814341585998,22428,39690.65779460952,1778,3146.512821420355,33878,59953.63406303644,124694,220670.005486046
